id,name,path,type,bulletId,param,updateId,updateGold,price,salePrice,unlockedBegin,aimDistance,quality
100010,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:200;5:1;101:1;4:200;2:100;3:0,100011,200,0,0,1,0,4
100011,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:245;5:2;101:1;4:200;2:150;3:0,100012,235,0,0,1,0,4
100012,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:290;5:3;101:1;4:200;2:200;3:0,100013,270,0,0,1,0,4
100013,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:335;5:4;101:1;4:200;2:250;3:0,100014,305,0,0,0,0,4
100014,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:380;5:5;101:1;4:200;2:300;3:0,100015,340,0,0,0,0,4
100015,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:425;5:6;101:1;4:200;2:350;3:0,100016,375,0,0,0,0,4
100016,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:470;5:7;101:1;4:200;2:400;3:0,100017,410,0,0,0,0,4
100017,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:515;5:8;101:1;4:200;2:450;3:0,100018,445,0,0,0,0,4
100018,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:560;5:9;101:1;4:200;2:500;3:0,100019,480,0,0,0,0,4
100019,核心,res://scence/player/Player_coreEngine1-1.tscn,0,10001,1:605;5:10;101:1;4:200;2:550;3:0,0,0,0,0,0,0,4
100020,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-10;5:5;101:1;4:0;2:5;3:0,100021,100,100,80,0,0,1
100021,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-15;5:6;101:1;4:0;2:10;3:0,100022,120,0,160,0,0,1
100022,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-20;5:7;101:1;4:0;2:15;3:0,100023,100,0,256,0,0,1
100023,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-25;5:8;101:1;4:0;2:20;3:0,100024,200,0,336,0,0,1
100024,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-30;5:9;101:1;4:0;2:25;3:0,100025,220,0,496,0,0,1
100025,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-35;5:10;101:1;4:0;2:30;3:0,100026,200,0,672,0,0,1
100026,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-40;5:11;101:1;4:0;2:35;3:0,100027,300,0,832,0,0,1
100027,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-45;5:12;101:1;4:0;2:40;3:0,100028,320,0,1072,0,0,1
100028,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-50;5:13;101:1;4:0;2:45;3:0,100029,300,0,1328,0,0,1
100029,核心,res://scence/player/Player_coreEngine2-1.tscn,0,0,1:-55;5:14;101:1;4:0;2:50;3:0,0,0,0,1568,0,0,1
200100,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-10;5:10;101:1.5;4:0;2:100;3:0,200101,200,160,128,0,500,4
200101,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-15;5:12;101:1.5;4:0;2:150;3:0,200102,235,0,288,0,500,4
200102,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-20;5:14;101:1.5;4:0;2:200;3:0,200103,270,0,476,0,500,4
200103,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-25;5:16;101:1.5;4:0;2:250;3:0,200104,305,0,692,0,500,4
200104,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-30;5:18;101:1.5;4:0;2:300;3:0,200105,340,0,936,0,500,4
200105,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-35;5:20;101:1.5;4:0;2:350;3:0,200106,375,0,1208,0,500,4
200106,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-40;5:22;101:1.5;4:0;2:400;3:0,200107,410,0,1508,0,500,4
200107,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-45;5:24;101:1.5;4:0;2:450;3:0,200108,445,0,1836,0,500,4
200108,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-50;5:26;101:1.5;4:0;2:500;3:0,200109,480,0,2192,0,500,4
200109,部位-大炮,res://scence/player/Player_derivedPart1-1.tscn,1,20010,1:-55;5:28;101:1.5;4:0;2:550;3:0,0,0,0,2576,0,500,4
200110,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-8;5:10;101:1.5;4:0;2:80;3:0,200111,160,140,112,0,500,3
200111,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-12;5:12;101:1.5;4:0;2:120;3:0,200112,190,0,240,0,500,3
200112,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-16;5:14;101:1.5;4:0;2:160;3:0,200113,220,0,392,0,500,3
200113,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-20;5:16;101:1.5;4:0;2:200;3:0,200114,250,0,568,0,500,3
200114,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-24;5:18;101:1.5;4:0;2:240;3:0,200115,280,0,768,0,500,3
200115,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-28;5:20;101:1.5;4:0;2:280;3:0,200116,310,0,992,0,500,3
200116,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-32;5:22;101:1.5;4:0;2:320;3:0,200117,340,0,1240,0,500,3
200117,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-36;5:24;101:1.5;4:0;2:360;3:0,200118,370,0,1512,0,500,3
200118,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-40;5:26;101:1.5;4:0;2:400;3:0,200119,400,0,1808,0,500,3
200119,部位-大炮,res://scence/player/Player_derivedPart1-lack1-1.tscn,1,20010,1:-44;5:28;101:1.5;4:0;2:440;3:0,0,0,0,2128,0,500,3
200120,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-6;5:10;101:1.5;4:0;2:60;3:0,200121,130,120,96,0,500,2
200121,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-9;5:12;101:1.5;4:0;2:90;3:0,200122,155,0,200,0,500,2
200122,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-12;5:14;101:1.5;4:0;2:120;3:0,200123,180,0,324,0,500,2
200123,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-15;5:16;101:1.5;4:0;2:150;3:0,200124,205,0,468,0,500,2
200124,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-18;5:18;101:1.5;4:0;2:180;3:0,200125,230,0,632,0,500,2
200125,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-21;5:20;101:1.5;4:0;2:210;3:0,200126,255,0,816,0,500,2
200126,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-24;5:22;101:1.5;4:0;2:240;3:0,200127,280,0,1020,0,500,2
200127,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-27;5:24;101:1.5;4:0;2:270;3:0,200128,305,0,1244,0,500,2
200128,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-30;5:26;101:1.5;4:0;2:300;3:0,200129,330,0,1488,0,500,2
200129,部位-大炮,res://scence/player/Player_derivedPart1-lack2-1.tscn,1,20010,1:-33;5:28;101:1.5;4:0;2:330;3:0,0,0,0,1752,0,500,2
200130,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-4;5:10;101:1.5;4:0;2:40;3:0,200131,100,100,80,0,500,1
200131,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-6;5:12;101:1.5;4:0;2:60;3:0,200132,120,0,160,0,500,1
200132,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-8;5:14;101:1.5;4:0;2:80;3:0,200133,140,0,256,0,500,1
200133,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-10;5:16;101:1.5;4:0;2:100;3:0,200134,160,0,368,0,500,1
200134,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-12;5:18;101:1.5;4:0;2:120;3:0,200135,180,0,496,0,500,1
200135,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-14;5:20;101:1.5;4:0;2:140;3:0,200136,200,0,640,0,500,1
200136,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-16;5:22;101:1.5;4:0;2:160;3:0,200137,220,0,800,0,500,1
200137,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-18;5:24;101:1.5;4:0;2:180;3:0,200138,240,0,976,0,500,1
200138,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-20;5:26;101:1.5;4:0;2:200;3:0,200139,260,0,1168,0,500,1
200139,部位-大炮,res://scence/player/Player_derivedPart1-lack3-1.tscn,1,20010,1:-22;5:28;101:1.5;4:0;2:220;3:0,0,0,0,1376,0,500,1
200200,部位-大炮,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-10;5:5;101:1;4:0;2:100;3:0,200201,100,100,80,0,500,1
200201,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-15;5:6;101:1;4:0;2:150;3:0,200202,120,0,160,0,500,1
200202,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-20;5:7;101:1;4:0;2:200;3:0,200203,100,0,256,0,500,1
200203,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-25;5:8;101:1;4:0;2:250;3:0,200204,200,0,336,0,500,1
200204,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-30;5:9;101:1;4:0;2:300;3:0,200205,220,0,496,0,500,1
200205,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-35;5:10;101:1;4:0;2:350;3:0,200206,200,0,672,0,500,1
200206,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-40;5:11;101:1;4:0;2:400;3:0,200207,300,0,832,0,500,1
200207,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-45;5:12;101:1;4:0;2:450;3:0,200208,320,0,1072,0,500,1
200208,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-50;5:13;101:1;4:0;2:500;3:0,200209,300,0,1328,0,500,1
200209,,res://scence/player/Player_derivedPart2-1.tscn,1,2002,1:-55;5:14;101:1;4:0;2:550;3:0,0,0,0,1568,0,500,1
200300,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-10;5:2;101:1;4:0;2:100;3:0,200301,200,160,128,0,500,4
200301,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-15;5:3;101:1;4:0;2:150;3:0,200302,235,0,288,0,500,4
200302,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-20;5:4;101:1;4:0;2:200;3:0,200303,270,0,476,0,500,4
200303,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-25;5:5;101:1;4:0;2:250;3:0,200304,305,0,692,0,500,4
200304,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-30;5:6;101:1;4:0;2:300;3:0,200305,340,0,936,0,500,4
200305,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-35;5:7;101:1;4:0;2:350;3:0,200306,375,0,1208,0,500,4
200306,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-40;5:8;101:1;4:0;2:400;3:0,200307,410,0,1508,0,500,4
200307,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-45;5:9;101:1;4:0;2:450;3:0,200308,445,0,1836,0,500,4
200308,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-50;5:10;101:1;4:0;2:500;3:0,200309,480,0,2192,0,500,4
200309,部位-大炮,res://scence/player/Player_derivedPart3-1.tscn,1,20030,1:-55;5:11;101:1;4:0;2:550;3:0,0,0,0,2576,0,500,4
200310,部位-大炮,res://scence/player/Player_derivedPart3-lack1-1.tscn,1,20030,1:-8;5:2;101:1;4:0;2:80;3:0,200311,160,140,112,0,500,3
200311,部位-大炮,res://scence/player/Player_derivedPart3-lack1-1.tscn,1,20030,1:-12;5:3;101:1;4:0;2:120;3:0,200312,190,0,240,0,500,3
200312,部位-大炮,res://scence/player/Player_derivedPart3-lack1-1.tscn,1,20030,1:-16;5:4;101:1;4:0;2:160;3:0,200313,220,0,392,0,500,3
